symbol,sim_dir,day,png,png_path,total_pnl,realized_pnl,unrealized_pnl,traded_volume,final_position,mark_notional_usdt,cost_notional_usdt,status,pnls,sharpes,calmars,max_drawdown,annual_return,calmar,sharpe,daily_turnover,spnl
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-01,2025-01-01.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-01.png,388.56789058486294,341.4817903476408,47.08610023722213,1753286.3847000024,-0.32700000000000007,-30927.970650000007,-30975.05675023723,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-02,2025-01-02.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-02.png,-688.2434903397274,-683.899302312658,-4.344188027069322,4705068.8175,0.6250000000000001,60604.718750000015,60609.062938027084,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-03,2025-01-03.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-03.png,-293.93261377477063,-443.2806234746098,149.34800969983917,2641977.1718000052,-0.680000000000003,-66739.1100000003,-66888.45800970015,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-04,2025-01-04.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-04.png,234.19089736774518,130.26719451693103,103.92370285081415,1081124.1850000003,-0.4720000000000003,-46337.726800000026,-46441.65050285084,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-05,2025-01-05.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-05.png,547.8791180940294,547.8791180940294,0.0,1114217.1711999993,0.0,0.0,0.0,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-06,2025-01-06.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-06.png,-1745.6082572013352,-1498.1050062436357,-247.5032509576995,3356839.8850000002,-0.9860000000000044,-100749.92370000045,-100502.42044904275,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-07,2025-01-07.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-07.png,-3076.0169552792754,-3081.3600150855596,5.3430598062841455,5792289.6854000045,0.36499999999999755,35375.89124999976,35370.548190193476,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-08,2025-01-08.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-08.png,604.2823844876648,861.0680517016835,-256.78566721401876,7068900.397399992,-1.0600000000000018,-100714.89300000017,-100458.10733278615,written,604.2823844876648,,,,220563.07033799763,,,7068900.397399992,8.548463700378712e-05
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-09,2025-01-09.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-09.png,2138.434324580976,2076.5465880756565,61.88773650531948,6609983.64529998,0.2540000000000038,23496.511300000348,23434.623563495028,written,2138.434324580976,,,,780528.5284720563,,,6609983.64529998,0.0003235158268661537
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-10,2025-01-10.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-10.png,783.8300724741737,868.3270608132759,-84.49698833910224,7569500.0304999575,1.0730000000000006,101586.86515000006,101671.36213833916,written,783.8300724741737,,,,286097.9764530734,,,7569500.0304999575,0.00010355110236024433
