symbol,sim_dir,day,png,png_path,total_pnl,realized_pnl,unrealized_pnl,traded_volume,final_position,mark_notional_usdt,cost_notional_usdt,status
BTCUSDT,sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-01,2025-01-01.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-01.png,-267.8232670031167,151.32161800328768,-419.14488500640437,302791.2868000006,-1.062,-100444.9689,-100025.8240149936,exists
BTCUSDT,sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-02,2025-01-02.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-02.png,1084.1214492147992,929.6749337290677,154.44651548573165,821262.1901999973,-0.7420000000000004,-71949.92210000004,-72104.36861548577,exists
BTCUSDT,sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-03,2025-01-03.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-03.png,-65.60369281504165,246.34630894259396,-311.9500017576356,446155.67100000015,-1.0230000000000008,-100403.10225000008,-100091.15224824245,exists
BTCUSDT,sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-04,2025-01-04.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-04.png,153.85250681086046,103.47546647067365,50.377040340186795,226642.11949999988,-0.6230000000000004,-61161.87245000004,-61212.249490340226,exists
BTCUSDT,sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-05,2025-01-05.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-05.png,488.45293470799214,490.20847289295824,-1.755538184966099,251467.7983999998,0.034000000000000016,3343.5685000000017,3345.324038184968,exists
BTCUSDT,sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-06,2025-01-06.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-06.png,-1340.4789402631068,540.6770597369542,-1881.1560000000609,516889.6449999996,-0.9980000000000008,-101976.08910000007,-100094.93310000001,exists
BTCUSDT,sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-07,2025-01-07.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-07.png,-5029.492306237037,-5029.492306237037,0.0,214567.7421999999,0.0,0.0,0.0,exists
BTCUSDT,sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-08,2025-01-08.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-08.png,-896.4343280798817,104.02958787997756,-1000.4639159598592,266318.39900000003,1.042000000000001,99004.64010000009,100005.10401595995,exists
BTCUSDT,sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-09,2025-01-09.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-09.png,873.5322839301584,1366.6348214881796,-493.10253755802114,813315.6117000004,1.0760000000000005,99536.40220000004,100029.50473755806,exists
BTCUSDT,sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-10,2025-01-10.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi0p5x0p5__bp0x1__bu1x0__cc1x1x1__css3__cdt0__dp1__ewmi0p5__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md1__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-10.png,3150.702926743924,3165.5517408139885,-14.848814070064691,1447828.867199998,0.4670000000000003,44213.48185000003,44228.3306640701,exists
